NUM_POSTE_obs,lat_obs,lon_obs,NUM_POSTE_mod,lat_mod,lon_mod
10002001,48.254167,4.685667,64178,48.2454,4.6988
10009002,48.051667,4.278333,61066,48.042,4.2623
10010002,48.538333,4.606667,68866,48.5373,4.5964
10021001,48.451333,4.283667,67432,48.4466,4.292
10030001,48.324667,4.02,65593,48.3328,4.0227
10033001,48.231667,4.708333,63823,48.2229,4.6988
10033002,48.238333,4.705,64178,48.2454,4.6988
10034001,48.120833,4.371667,62073,48.1098,4.3625
10042001,48.179,3.663333,63087,48.1725,3.6544
10045002,48.183333,4.466667,63111,48.1776,4.463
10051001,48.191667,3.996667,63447,48.1978,3.991
10057001,48.439833,3.504833,67409,48.4407,3.5131
10059001,48.489,4.4755,68148,48.4921,4.461
10060001,48.263333,4.09,64517,48.2658,4.0912
10070001,48.0675,4.411333,61402,48.065,4.3965
10075001,48.619667,4.050833,70299,48.625,4.0524
10079002,47.940333,4.251,59435,47.9297,4.2634
10080001,48.048333,4.16,61063,48.0415,4.1614
10099002,48.0255,3.915,60726,48.0175,3.9266
1010001,45.9,5.766667,35642,45.9036,5.7693
10102001,48.261667,4.779667,64537,48.2679,4.7662
10119001,48.0365,4.6785,61078,48.0431,4.6656
10119002,48.041667,4.666667,61078,48.0431,4.6656
10120001,48.019667,4.105667,60731,48.0187,4.0945
10125001,48.33,3.826667,65587,48.3313,3.82
10128001,48.511667,4.435,68504,48.5145,4.427
10130001,48.609167,4.224667,69939,48.6035,4.2225
10140001,48.041667,3.91,61056,48.04,3.9262
1014001,46.266667,5.65,39587,46.2643,5.6455
1014002,46.278167,5.669,39826,46.2866,5.6784
10141001,48.039167,4.493833,61073,48.0428,4.4975
10155001,48.081667,4.61,61743,48.088,4.5982
10166002,48.468167,4.016833,67780,48.4676,4.0207
10202001,48.082833,4.098667,61728,48.0861,4.0936
10203002,48.149667,4.831333,62773,48.1556,4.8337
10209001,48.256667,4.265,64522,48.2667,4.26
10221001,48.434333,4.587,67073,48.425,4.5969
10223001,48.346167,3.636,65943,48.3522,3.6505
10228001,48.365,4.473333,65967,48.3573,4.4619
10228002,48.353167,4.472333,65967,48.3573,4.4619
10233002,48.505,3.886667,68488,48.5115,3.8844
10238001,48.244833,4.322167,64167,48.2445,4.3277
10240002,48.266333,3.905167,64511,48.2644,3.8887
10241001,48.0745,4.101167,61393,48.0636,4.0939
1025001,46.325167,4.953167,40292,46.3348,4.9628
10255002,48.217333,4.275833,63810,48.2218,4.2604
10256001,48.445,4.131667,67427,48.4457,4.1227
10261001,47.983833,4.495833,60086,47.9754,4.4979
10268003,48.491667,3.5,68120,48.4856,3.512
1027001,45.833333,5.083333,34870,45.8399,5.0904
1027002,45.832833,5.086,34870,45.8399,5.0904
1027003,45.833,5.106667,34871,45.8398,5.1227
10274001,48.445,3.8365,67419,48.4439,3.8517
1028001,46.122,4.9045,38133,46.1325,4.8973
10282001,48.381667,3.976667,66317,48.3775,3.9882
10287002,48.363333,4.333333,65963,48.3568,4.3267
10287003,48.363,4.3215,65963,48.3568,4.3267
1029001,46.411667,5.263333,41031,46.4014,5.2564
10291001,48.5775,3.586,69556,48.5762,3.5777
10306001,48.23,4.693333,63823,48.2229,4.6988
10313001,48.35,4.483333,65968,48.3574,4.4957
10317001,47.997167,4.372,60410,47.9975,4.3634
10317002,47.981333,4.3305,60081,47.9749,4.3301
10323001,48.503333,3.7495,68484,48.5104,3.7488
10327001,48.344333,4.557833,65609,48.3351,4.5634
1033001,46.103333,5.846667,37913,46.1054,5.8377
1033002,46.0865,5.814167,37664,46.0832,5.8048
10334001,48.486167,3.538833,68121,48.486,3.5459
10339001,48.401667,3.763333,66678,48.3981,3.7511
1034001,45.755,5.686667,33911,45.7468,5.7021
1034004,45.769333,5.688,34154,45.7693,5.7024
10350001,48.169833,3.789,63091,48.1737,3.7892
10360001,48.238833,4.049833,64159,48.2431,4.0578
10369001,48.677167,4.096167,71020,48.6701,4.0857
1037001,45.862333,5.484167,35129,45.8608,5.4779
10372001,48.399333,4.671333,66705,48.4026,4.6646
10373001,48.203333,4.0,63447,48.1978,3.991
10374002,48.231667,4.616667,63821,48.2229,4.6314
10387002,48.295,4.071667,64875,48.2881,4.0571
10391001,48.372333,4.125833,66321,48.3783,4.1235
10401001,48.233,4.463,63816,48.2225,4.4628
10419001,48.1785,4.233833,63104,48.1767,4.2272
10420001,48.588667,3.557667,69919,48.5983,3.5432
10428002,48.331833,4.7495,65615,48.3353,4.7662
10428003,48.331667,4.746667,65614,48.3353,4.7324
10429001,48.532833,4.119667,68852,48.5356,4.1215
1043001,45.837333,4.990667,34867,45.8401,4.9936
10432001,48.063667,4.253333,61398,48.0645,4.262
10438001,48.144333,4.554167,62765,48.1553,4.5642
10442001,48.467833,4.181833,67785,48.4686,4.1901
1053001,46.206667,5.221667,38869,46.1992,5.2223
1053003,46.215,5.258333,39105,46.2216,5.2549
1059001,45.948333,5.721667,36148,45.9488,5.7377
1064001,45.777167,5.487167,34147,45.7708,5.4768
1068001,46.082,5.465167,37654,46.0856,5.4807
1071001,46.310333,6.080333,40080,46.3054,6.0693
1072001,46.204333,5.287667,38871,46.199,5.2872
1082001,46.003333,5.788333,36655,45.9933,5.8032
1085001,46.07,5.025,37391,46.0649,5.0268
1089001,45.9765,5.329333,36387,45.974,5.3176
1092001,45.969,5.251,36385,45.9743,5.2529
11004001,43.1125,2.098333,4001,43.1102,2.0933
11011001,43.296667,2.315,5492,43.2948,2.3007
11012001,43.308167,2.911667,5512,43.3072,2.9176
11013001,43.238333,2.768333,4914,43.2371,2.7657
11015001,42.951833,2.374833,3058,42.9596,2.3765
11016001,43.101667,2.501667,3863,43.0969,2.4938
11016003,43.100833,2.503333,3863,43.0969,2.4938
11018001,43.226667,2.206667,4896,43.2254,2.2112
11020001,42.94,2.493333,2937,42.9399,2.5
11021002,42.803333,2.23,2267,42.7991,2.2302
11028001,42.8195,1.968,2356,42.8146,1.954
11033002,43.178333,1.78,4496,43.1694,1.7825
11033003,43.200333,1.748333,4685,43.191,1.7506
11034001,43.126667,2.095,4162,43.1326,2.0923
11038001,42.788333,2.125,2264,42.7968,2.1385
11038002,42.788333,2.125,2264,42.7968,2.1385
1104001,46.24,5.896667,39359,46.2396,5.9052
11044001,42.986667,2.451667,3187,42.9834,2.4369
11047001,42.743333,2.16,2074,42.7527,2.1711
11048001,43.15,2.793333,4185,43.1479,2.7996
11049001,43.241667,2.126167,5087,43.2456,2.1178
1105001,45.911667,4.891167,35615,45.9077,4.8969
11055001,42.878333,2.348333,2573,42.8692,2.3496
11056001,43.358333,2.463333,6145,43.3656,2.4522
11068001,43.187333,2.5505,4521,43.188,2.5518
11068003,43.185,2.558333,4521,43.188,2.5518
11069001,43.215333,2.2955,4703,43.2051,2.3046
11075001,43.404667,2.494333,6604,43.4111,2.4812
11076001,43.305333,1.949167,5684,43.309,1.9605
11076002,43.316667,1.953333,5684,43.309,1.9605
11081001,43.345333,2.525167,5919,43.3445,2.5148
11081003,43.334333,2.481,5918,43.3438,2.4839
11092001,43.384333,2.5405,6376,43.39,2.5439
11094001,43.045,2.421667,3577,43.0507,2.4342
11099001,43.279667,2.399167,5294,43.2745,2.3942
11103001,42.943333,2.256667,2929,42.9344,2.2549
11106001,43.238,3.06,4924,43.2424,3.0738
11110001,43.048333,2.743667,3587,43.057,2.7413
11111001,43.193333,2.813333,4529,43.1928,2.7981
11113001,42.848333,2.6,2478,42.852,2.5954
11115001,43.351167,2.272167,6139,43.3615,2.2669
11122001,43.188333,2.596667,4522,43.1886,2.5826
11124001,42.995,2.816667,3199,42.9908,2.805
11124003,42.993333,2.819167,3199,42.9908,2.805
11127001,42.738333,2.123333,1985,42.7288,2.111
11136001,43.202,2.07,4695,43.1991,2.0583
11140001,43.147167,2.7325,4183,43.1468,2.7381
11144001,42.894667,2.995833,2704,42.9043,2.9919
11145001,43.183333,3.183333,4363,43.1765,3.1682
11145002,43.232667,3.138167,4926,43.2434,3.1355
11149001,43.23,1.936667,5081,43.2408,1.933
1115001,46.253333,5.06,39333,46.2447,5.0601
11151001,43.186667,2.453333,4518,43.186,2.4595
11155001,42.927333,2.429833,2935,42.9385,2.4387
11159002,43.182833,1.895833,4500,43.1727,1.9056
11163001,42.761667,2.323333,2079,42.7563,2.3238
11167001,43.143333,2.108333,4163,43.1334,2.123
11168001,42.909167,2.2505,2803,42.912,2.2559
11169001,43.078333,2.38,3714,43.0718,2.3718
11176001,43.04,2.728333,3457,43.0346,2.7421
11177001,42.8265,2.0865,2360,42.8178,2.0763
11179001,43.075,2.471667,3717,43.0738,2.464
11180001,43.401667,2.408333,6602,43.4098,2.4194
1118001,45.968333,5.808333,36402,45.9708,5.8028
11181001,43.39,2.003333,6589,43.4003,2.0178
11181002,43.3895,2.022167,6589,43.4003,2.0178
11185001,43.0915,2.621833,3867,43.0995,2.6167
11189001,43.441667,2.260333,7092,43.4512,2.263
11191001,42.956667,2.561667,3064,42.9636,2.5605
11198001,43.268667,2.518167,5298,43.2771,2.5175
11200001,43.403333,2.538333,6606,43.4124,2.543
11200003,43.401667,2.538333,6606,43.4124,2.543
11202001,42.917333,3.059667,2829,42.9277,3.0525
11203001,43.236667,2.758333,4914,43.2371,2.7657
11203004,43.173,2.728833,4349,43.1692,2.7373
11206001,43.0475,2.216167,3570,43.0458,2.2193
11206003,43.046,2.201167,3569,43.0451,2.1886
11221001,43.408333,2.298333,6598,43.4071,2.2959
11221004,43.4085,2.292333,6598,43.4071,2.2959
11222001,43.371667,2.363333,6142,43.3636,2.3595
11225001,43.316667,1.886667,5682,43.3073,1.8988
11230001,42.786667,1.978333,2259,42.793,1.9856
11242001,43.135833,2.248,4167,43.1363,2.246
11243001,43.3535,1.821667,6125,43.3506,1.8348
11253001,43.312667,2.2405,5693,43.3158,2.2381
11257001,43.156667,2.461667,4340,43.1636,2.4604
11260002,42.9595,2.529,3063,42.9629,2.5298
11262001,43.183333,3.013333,4358,43.1741,3.0143
11262002,43.179167,3.019167,4358,43.1741,3.0143
11262005,43.150333,2.955833,4190,43.1506,2.9534
11266001,43.0145,3.0525,3338,43.0175,3.0498
11271001,42.957333,2.6615,3067,42.9654,2.6525
1128001,46.451667,5.103333,41498,46.4469,5.0937
11283001,43.26,1.813333,5275,43.26,1.8086
11295001,43.041,2.9435,3464,43.0384,2.957
11296001,43.288333,2.828333,5308,43.2831,2.8258
11297001,43.424333,2.463,6843,43.4329,2.4494
11298001,43.145,2.515,4176,43.1425,2.5228
11301001,43.226667,2.631667,4910,43.2347,2.6425
11303001,42.883333,2.045,2673,42.8843,2.0425
11304001,42.873333,2.181667,2568,42.8656,2.1966
11312001,43.181667,1.896667,4500,43.1727,1.9056
11315001,43.281667,2.585,5300,43.2784,2.5791
11321003,42.745167,2.193,2075,42.7535,2.2016
11326001,42.881667,2.553333,2580,42.8738,2.5639
11327001,43.1745,2.283167,4512,43.1819,2.2748
11329001,42.938333,2.148333,2926,42.9322,2.163
11332001,43.111667,2.835,3874,43.1036,2.8319
11333001,43.004,2.0455,3305,42.9964,2.0372
11352001,42.850333,2.3405,2470,42.8468,2.3506
11367001,43.393333,2.165,6594,43.4042,2.1723
11371001,43.295333,1.783667,5678,43.304,1.7755
11380001,43.003333,1.99,3303,42.9949,1.9758
11381001,42.9,2.355,2683,42.8916,2.3487
11386001,43.051667,2.663333,3584,43.0552,2.6491
11388001,43.000667,2.563167,3322,43.0085,2.5587
11401001,42.888333,2.723333,2585,42.8769,2.717
11404001,43.264833,2.302333,5291,43.2724,2.3017
11409001,43.005,2.523333,3321,43.0078,2.5281
11412001,43.014833,2.4005,3317,43.0052,2.4053
11420001,43.05,2.333333,3574,43.0487,2.3421
11420002,43.066667,2.32,3712,43.0704,2.3104
11427001,43.053333,2.094167,3566,43.0429,2.0965
1143001,46.376667,6.156667,40816,46.3725,6.1034
1143002,46.3415,6.139667,40572,46.35,6.1029
11435001,43.008333,2.626667,3324,43.0097,2.6201
11439001,43.321667,2.095,5688,43.3121,2.0838
1157001,46.02,4.76,36877,46.0201,4.7676
1160001,46.255,6.108333,39600,46.2604,6.0682
1173001,46.34,6.063167,40571,46.3504,6.0703
1174001,46.23,5.7725,39355,46.2408,5.7752
1175001,46.418333,4.938333,41261,46.4247,4.9305
1176001,46.035,5.671667,37159,46.0393,5.6745
1184001,46.1545,5.404,38399,46.1534,5.4166
1185001,45.966667,5.6,36396,45.9723,5.6087
1185005,45.978333,5.596667,36396,45.9723,5.6087
1185006,45.979667,5.598167,36396,45.9723,5.6087
1187001,46.0365,5.699833,37160,46.039,5.7069
1190001,45.7825,5.572833,34394,45.7927,5.5738
1192001,46.225,5.541667,39114,46.22,5.5474
1200001,46.095,5.483333,37654,46.0856,5.4807
1200002,46.09,5.482,37654,46.0856,5.4807
12005001,44.756,2.868167,22989,44.7671,2.8688
12006001,44.131667,2.681667,15619,44.1341,2.671
12010001,44.318333,2.8,17797,44.3161,2.7899
12011001,44.167667,2.618833,16184,44.1778,2.6067
12014001,44.5335,3.007667,20398,44.5445,3.0025
12021001,44.341333,2.139167,18299,44.3471,2.1286
12023001,43.951167,2.503,13302,43.9506,2.4906
12024001,44.387333,2.339167,18825,44.3971,2.3465
12025001,43.823167,2.7535,11590,43.8208,2.745
12025002,43.822333,2.728,11589,43.8202,2.7138
12026002,44.384167,2.761833,18579,44.3829,2.756
12026003,44.383333,2.805,18581,44.384,2.8189
12028001,44.59,2.206667,21147,44.5964,2.2116
12036001,44.778,2.689667,23243,44.7861,2.6781
12037001,44.005,2.695,13885,43.9999,2.7073
12039001,43.7495,2.938667,10737,43.7568,2.9339
1204001,46.152833,5.717167,38408,46.1514,5.7087
1204002,46.166667,5.706667,38647,46.1739,5.7091
12044001,43.808333,2.9,11307,43.8012,2.9013
12046001,44.18,2.378333,16177,44.1732,2.3875
12048001,44.665,2.583333,21936,44.6719,2.5875
12050001,44.2335,2.737167,16734,44.2251,2.7303
12051001,44.834667,2.814,23757,44.8334,2.8031
12052001,44.573333,2.078333,20884,44.5709,2.0865
12057001,44.168333,2.53,16182,44.1765,2.5441
12063001,44.005667,3.160667,13900,44.0078,3.1756
12063003,43.987,3.181833,13612,43.9853,3.1763
12065001,44.154667,2.425667,15897,44.1514,2.4198
12068001,44.357833,2.317167,18305,44.3515,2.317
12076001,44.6,2.4,21153,44.6006,2.4008
12076002,44.603333,2.405,21153,44.6006,2.4008
12076003,44.603333,2.401667,21153,44.6006,2.4008
12077002,43.922333,3.192167,12751,43.9179,3.1782
12089001,44.558333,2.255,20631,44.5522,2.2451
12089002,44.575167,2.2405,20889,44.5747,2.2441
1209001,46.098333,5.881667,37914,46.1051,5.8701
12092001,44.111833,2.6445,15329,44.111,2.6406
12094002,44.635833,2.559667,21417,44.6264,2.5577
12096001,44.5095,2.768667,20134,44.5183,2.7827
12099001,43.8,2.95,11309,43.8022,2.9636
12100001,44.547667,2.311833,20633,44.5536,2.3082
1210001,46.301667,5.941667,40076,46.3068,5.9391
1210002,46.303333,5.943333,40076,46.3068,5.9391
12102001,44.279333,2.606333,17528,44.2901,2.6024
12103001,44.628333,2.631667,21419,44.6276,2.6208
12110001,44.605,2.583333,21159,44.6045,2.5901
12116001,44.713333,2.762,22464,44.7205,2.7754
12117001,44.773333,2.885,22990,44.7676,2.9004
12117002,44.773333,2.879833,22989,44.7671,2.8688
12119001,44.682667,2.852833,21944,44.6767,2.8402
12120001,44.389167,2.828333,18581,44.384,2.8189
12121001,44.430667,2.171333,19338,44.4377,2.1558
12145001,44.1185,3.0195,15341,44.1177,3.016
12145011,44.1,3.05,15052,44.0957,3.048
12148001,44.484,2.220167,19859,44.4841,2.2167
12150001,44.265667,1.991667,17509,44.2766,2.0063
12154002,43.877333,2.836167,12167,43.8675,2.8368
12154003,43.891667,2.836333,12454,43.8899,2.836
12155001,43.888333,3.15,12464,43.895,3.1477
12156001,44.613333,2.805,21166,44.6087,2.811
1216001,45.733333,5.533333,33663,45.7255,5.5407
12164001,44.833333,2.668333,23753,44.831,2.6764
12168002,44.013333,3.32,13905,44.01,3.3318
12174001,44.343167,2.526,18051,44.3337,2.5378
12176001,44.39,2.538333,18831,44.4011,2.5351
12179001,43.761833,2.867167,10735,43.7557,2.8717
12180001,44.186667,3.206667,16203,44.1879,3.2018
12185001,44.278333,2.73,17268,44.27,2.7287
12189001,44.242167,2.255833,16988,44.2378,2.2593
12194001,44.239333,2.383,16992,44.2406,2.3846
12194002,44.238333,2.383333,16992,44.2406,2.3846
12197001,44.026,2.526333,14168,44.0186,2.5191
12197002,44.072667,2.555833,14747,44.0642,2.5485
12198001,44.33,2.25,18042,44.3276,2.2552
12202001,44.35,2.566667,18313,44.3568,2.5683
12202003,44.353333,2.57,18313,44.3568,2.5683
12208001,43.9585,2.856167,13314,43.9578,2.8649
12208004,43.966667,2.85,13314,43.9578,2.8649
12212001,43.896833,3.109833,12463,43.8946,3.1165
12213001,44.165,2.943333,15914,44.1616,2.952
12214001,44.59,2.92,20910,44.5879,2.9065
12214002,44.631667,2.983333,21430,44.6339,2.9681
12214005,44.631333,2.985167,21431,44.6344,2.9997
12216001,44.514667,2.827833,20135,44.5188,2.8142
12222001,43.845,2.976667,11884,43.8471,2.9621
12223001,44.803333,2.761667,23500,44.8103,2.7722
12224001,44.463667,2.967667,19364,44.4541,2.9739
12225001,44.08,2.983333,14761,44.0723,2.9861
12228001,43.981667,2.708333,13597,43.9774,2.7081
12230001,44.048667,2.504667,14457,44.0411,2.5182
1224001,45.8,5.233333,34383,45.7946,5.2192
1224002,45.8065,5.238333,34629,45.8169,5.2516
12247001,44.422167,3.021833,19105,44.4322,3.0061
12248001,43.884167,2.611,12447,43.8858,2.6179
12251001,44.041667,2.805,14466,44.0466,2.7994
12253001,44.151833,2.866167,15911,44.16,2.858
12253002,44.181667,2.785,16190,44.1813,2.7946
12254001,44.410333,2.4825,18829,44.3998,2.4723
12258001,44.241167,2.188333,16986,44.2363,2.1966
12266001,44.291667,2.835,17535,44.2942,2.822
12266002,44.2895,2.820333,17535,44.2942,2.822
12270002,44.318333,3.067833,17806,44.3209,3.0724
12271001,44.366667,2.856667,18322,44.3621,2.8511
12286001,43.943333,2.836667,13026,43.9348,2.8345
12294001,44.278333,2.95,17275,44.2739,2.9483
12294002,44.277,2.949,17275,44.2739,2.9483
12296001,44.071667,2.806667,14755,44.069,2.7986
12298001,44.530667,2.572,20384,44.5365,2.5613
12300001,44.35,2.041667,18296,44.3448,2.0344
12300002,44.35,2.033333,18296,44.3448,2.0344
12300003,44.363333,1.998333,18555,44.3665,2.0019
12300004,44.371833,2.023667,18556,44.3673,2.0333
12301001,44.471333,2.032833,19853,44.4795,2.0278
1231001,46.36,4.906667,40535,46.3573,4.8977
1235001,46.0385,5.044333,37140,46.0423,5.0591
1235002,46.046667,5.073333,37140,46.0423,5.0591
1243001,46.047167,4.757667,37131,46.0426,4.7676
1247002,46.366667,5.993333,40813,46.3735,6.0057
1247003,46.378833,6.019333,40813,46.3735,6.0057
1247004,46.378333,6.021667,40813,46.3735,6.0057
1247005,46.321667,5.951667,40322,46.3292,5.9396
1250001,45.981667,4.801667,36371,45.9752,4.8
1255001,45.793333,5.47,34391,45.7933,5.4771
1255002,45.794333,5.469333,34391,45.7933,5.4771
1262001,45.925,5.025,35872,45.93,5.0263
1262003,45.9,5.016667,35619,45.9075,5.0262
1262004,45.907667,5.017167,35619,45.9075,5.0262
1267001,46.195,5.516667,38878,46.1978,5.5146
1269001,46.148167,5.607333,38405,46.1522,5.6114
1273001,46.083167,5.373833,37651,46.0861,5.3835
1276001,45.816667,5.07,34623,45.8175,5.0581
1283001,46.271667,5.661667,39587,46.2643,5.6455
13001002,43.593333,5.413333,8557,43.5912,5.4202
13001006,43.504667,5.365667,7444,43.5017,5.3573
13001009,43.5295,5.4245,7715,43.5238,5.4195
13001013,43.531333,5.442667,7716,43.5236,5.4504
13004001,43.686667,4.611667,9658,43.6826,4.6136
13004002,43.408333,4.72,6418,43.4132,4.7073
13004003,43.51,4.693833,7428,43.5031,4.7071
13004004,43.491667,4.723333,7162,43.4806,4.7072
13004008,43.623333,4.528333,8811,43.6151,4.5208
13004017,43.693333,4.568333,9657,43.6826,4.5826
13005001,43.29,5.578333,5338,43.2983,5.5713
13005003,43.307333,5.601167,5339,43.2981,5.6022
13005004,43.291667,5.556667,5338,43.2983,5.5713
13007001,43.37,5.631667,5984,43.3652,5.634
13010001,43.916667,4.743333,12515,43.9074,4.7376
1301001,46.236667,5.11,39335,46.2445,5.1251
13014001,43.471667,5.148333,7437,43.5026,5.1406
13015001,43.451667,5.41,6918,43.4565,5.4187
13019001,43.463833,5.334167,6915,43.4569,5.3259
13021001,43.333333,5.151667,5743,43.3454,5.1397
13022001,43.218333,5.533333,4546,43.2087,5.5393
13022003,43.222167,5.503167,4739,43.2313,5.5088
13024002,43.718333,5.245,10242,43.7269,5.2352
13026001,43.393333,5.103333,6195,43.3904,5.109
13027001,43.883333,4.848333,12232,43.8849,4.8623
13028001,43.174667,5.574167,4364,43.186,5.5698
13028002,43.176667,5.603333,4365,43.1858,5.6006
13030001,43.274,5.700167,5137,43.2749,5.6944
13030002,43.316667,5.708333,5544,43.3198,5.6951
13031001,43.376667,5.605,6211,43.3879,5.6034
13031002,43.386667,5.601,6211,43.3879,5.6034
13035001,43.688333,5.033333,9672,43.6825,5.0485
13035002,43.726333,5.008,10235,43.7275,5.0176
13036001,43.84,4.841667,11657,43.84,4.8311
13036003,43.847167,4.834833,11657,43.84,4.8311
13037001,43.548333,5.2,7987,43.5473,5.2028
13039001,43.435,4.945,6656,43.4356,4.9546
13041001,43.428333,5.47,6669,43.4336,5.4803
13042001,43.288333,5.618333,5340,43.2978,5.633
13045001,43.851667,4.773333,11942,43.8625,4.7688
13046001,43.431667,5.543333,6671,43.4332,5.5422
13047001,43.522667,4.9275,7703,43.5255,4.9239
13047002,43.513333,4.988333,7436,43.503,4.9858
13048001,43.687667,5.666167,9692,43.6793,5.6696
13050001,43.668667,5.2865,9399,43.6592,5.2967
13053001,43.731667,5.176667,10240,43.7271,5.173
13053002,43.715,5.206667,9959,43.7045,5.2039
13053003,43.73,5.181667,10240,43.7271,5.173
13054001,43.437667,5.216,6660,43.435,5.202
13055001,43.305667,5.394333,5332,43.2994,5.3862
13055002,43.355,5.328333,5748,43.3447,5.3249
13055003,43.198333,5.23,4734,43.2322,5.3547
13055004,43.263333,5.29,4734,43.2322,5.3547
13055005,43.309333,5.426167,5333,43.2993,5.4171
13055006,43.3385,5.4045,5751,43.3442,5.4175
13055008,43.288333,5.396667,5332,43.2994,5.3862
13055010,43.305,5.395,5332,43.2994,5.3862
13055011,43.263333,5.386667,4931,43.2545,5.3858
13055013,43.295,5.351667,5331,43.2996,5.3554
13055016,43.31,5.401667,5332,43.2994,5.3862
13055020,43.323333,5.456667,5536,43.3215,5.4482
13055025,43.255667,5.38,4931,43.2545,5.3858
13055029,43.310667,5.479167,5537,43.3214,5.479
13056001,43.3255,5.053167,5740,43.3456,5.047
13056002,43.331667,5.053333,5740,43.3456,5.047
13056003,43.401667,5.053333,6193,43.3906,5.0472
13056004,43.417167,5.042833,6422,43.413,5.0473
13059001,43.643333,5.531667,9126,43.6353,5.5448
13059003,43.641667,5.513333,9125,43.6355,5.5138
13060002,43.486667,5.526667,7181,43.4783,5.5118
13062002,43.4185,5.499667,6437,43.411,5.511
13063001,43.583333,5.0,8543,43.5928,4.9861
13070001,43.278333,5.518333,5131,43.2763,5.5093
13071001,43.408333,5.321667,6431,43.412,5.3255
13074001,43.645,5.583333,9127,43.6351,5.5758
13074002,43.623333,5.586667,8845,43.6127,5.5755
13074003,43.656667,5.607,9409,43.6574,5.6072
13076001,43.808333,4.996667,11374,43.8174,4.9868
13077001,43.432167,5.0025,6658,43.4355,5.0165
13077002,43.408333,4.981667,6657,43.4356,4.9856
13077003,43.397667,4.981833,6192,43.3906,5.0163
13078001,43.471667,4.786667,7164,43.4807,4.8
13078002,43.388333,4.808333,5962,43.3684,4.8
13078004,43.393333,4.813333,6191,43.3908,4.8309
13080001,43.639,5.4435,9123,43.6359,5.4517
13082001,43.706667,5.358333,9964,43.7038,5.3593
13082002,43.665,5.35,9401,43.6589,5.3588
13085001,43.2515,5.625,4939,43.2529,5.6324
13085002,43.251667,5.623333,4939,43.2529,5.6324
13086001,43.366667,5.611667,5983,43.3654,5.6031
13087001,43.478333,5.636667,7185,43.4775,5.6356
13089001,43.828333,4.971667,11374,43.8174,4.9868
13091001,43.591333,5.251333,8552,43.592,5.2651
13091002,43.6045,5.317667,8837,43.6141,5.3274
13092001,43.5495,5.0395,7982,43.5478,5.0479
13096001,43.457167,4.427833,6892,43.4576,4.4288
13096002,43.448333,4.423333,6892,43.4576,4.4288
13097001,43.638333,4.81,9102,43.6379,4.8
13097002,43.596667,4.851667,8539,43.5929,4.862
13097003,43.638333,4.81,9102,43.6379,4.8
13097004,43.628333,4.956667,9107,43.6378,4.9552
13099002,43.686667,5.71,9693,43.6791,5.7007
13100001,43.783333,4.831667,10798,43.7726,4.8311
13100002,43.791167,4.835,11082,43.7951,4.8311
13100003,43.788333,4.83,11082,43.7951,4.8311
13103001,43.612833,5.108,8830,43.615,5.1102
13103002,43.643333,5.018333,9109,43.6377,5.0172
13105001,43.743333,5.078333,10521,43.7498,5.0799
13108001,43.811667,4.665,11364,43.8175,4.6755
13108004,43.829833,4.640167,11651,43.8399,4.6443
13110001,43.448333,5.685,6927,43.4545,5.6972
13110002,43.451667,5.691667,6927,43.4545,5.6972
13110003,43.445333,5.698667,6927,43.4545,5.6972
13111002,43.551,5.68,8002,43.5446,5.6676
13113002,43.6,5.481667,8559,43.5908,5.4822
13113003,43.578333,5.473333,8278,43.5684,5.4819
1350001,46.296,5.279667,39814,46.2889,5.288
1367001,46.383333,5.116667,40786,46.3794,5.1259
1367002,46.403167,5.109833,41027,46.4019,5.126
1374001,46.101667,5.328333,37897,46.1089,5.3189
1374002,46.118333,5.318833,37897,46.1089,5.3189
1384001,45.931667,5.426667,35884,45.9286,5.4141
1384003,45.950333,5.461,36139,45.9509,5.4467
1391001,46.363833,5.346667,40549,46.356,5.3538
14020002,49.140333,-0.155,78857,49.1329,-0.1445
14047001,49.275,-0.703333,80514,49.2661,-0.7089
14047002,49.274833,-0.712333,80514,49.2661,-0.7089
14055001,49.275,0.091667,80300,49.277,0.0831
14055002,49.256167,0.090833,80063,49.2545,0.0851
14066001,49.334,-0.430667,80989,49.3231,-0.4388
1407001,45.953333,5.824,36151,45.948,5.8347
1408001,46.248333,5.455,39345,46.2431,5.4502
14096001,48.991167,-0.780833,77566,48.9927,-0.7828
14118001,49.183333,-0.36,79573,49.1916,-0.3566
14126001,49.1455,0.041833,78862,49.1398,0.0268
14129001,48.953333,-0.93,77291,48.9639,-0.9169
14137001,49.18,-0.456167,79570,49.1872,-0.4595
1414001,45.916167,5.624667,35891,45.9271,5.6404
14143002,49.083333,-0.8,78593,49.0822,-0.7924
14147001,49.020333,0.323333,77327,49.0158,0.3125
1416001,45.923333,5.506667,35887,45.928,5.5111
14174001,48.853333,-0.55,75477,48.8451,-0.5618
1419001,46.241667,5.968333,39361,46.239,5.9702
14216001,48.928,-0.148667,76436,48.9298,-0.1595
14220001,49.355,0.071667,80993,49.3442,0.0769
14220002,49.352833,0.073333,80993,49.3442,0.0769
14226001,48.955,-0.416667,77024,48.9646,-0.4027
14228001,49.29,-0.383333,80523,49.2797,-0.3999
14229001,49.231667,-0.0475,79821,49.2267,-0.0501
14239001,49.3875,-0.956667,81808,49.3893,-0.964
14258002,48.89,-0.203333,75814,48.8836,-0.1893
1426001,46.221667,5.366667,39108,46.2212,5.3524
